title,author,,publisher, page_count,,publication_date
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,,Scholastic Inc.,652,,9/16/2006
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,,Scholastic Inc.,870,,9/1/2004
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,,Scholastic,352,,11/1/2003
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,,Scholastic Inc.,435,,5/1/2004
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,,Scholastic,2690,,9/13/2004
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,,Nimble Books,152,,4/26/2005
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,,Scholastic,3342,,9/12/2005
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,Gramercy Books,815,,11/1/2005
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,Del Rey Books,815,,4/30/2002
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,,Crown,215,,8/3/2004
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,,Random House Audio,6,,3/23/2005
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,Wings Books,815,,1/17/1996
A Short History of Nearly Everything,Bill Bryson,,Broadway Books,544,,9/14/2004
Bill Bryson's African Diary,Bill Bryson,,Broadway Books,55,,12/3/2002
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,,Broadway Books,256,,9/14/2004
In a Sunburned Country,Bill Bryson,,Broadway Books,335,,5/15/2001
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,,Broadway Books,304,,6/28/2000
The Lost Continent: Travels in Small Town America,Bill Bryson,,William Morrow Paperbacks,299,,8/28/1990
Neither Here nor There: Travels in Europe,Bill Bryson,,William Morrow Paperbacks,254,,3/28/1993
Notes from a Small Island,Bill Bryson,,William Morrow Paperbacks,324,,5/28/1997
The Mother Tongue: English and How It Got That Way,Bill Bryson,,William Morrow Paperbacks,270,,9/28/1991
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,,Ballantine Books,1728,,9/25/2012
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,,Houghton Mifflin Harcourt,1184,,10/21/2004
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,,Houghton Mifflin Harcourt,398,,9/5/2003
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,,Houghton Mifflin Harcourt,1216,,10/1/2002
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,,Houghton Mifflin Harcourt,218,,11/5/2003
The Lord of the Rings: Complete Visual Companion,Jude Fisher,,Houghton Mifflin Harcourt,224,,11/15/2004
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,,Pragmatic Bookshelf,558,,7/28/2005
Hatchet (Brian's Saga  #1),Gary Paulsen,,Atheneum Books for Young Readers: Richard Jackson Books,208,,4/1/2000
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,,Teacher Created Resources,48,,8/28/1994
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,,Delacorte Press,144,,1/23/2001
Molly Hatchet - 5 of the Best,Molly Hatchet,,Cherry Lane Music Company,56,,6/10/2003
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,,The New Press,228,,11/1/2005
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,,Changeling Press,304,,11/1/2005
Changeling (Changeling  #1),Delia Sherman,,Viking Juvenile,256,,8/17/2006
The Changeling Sea,Patricia A. McKillip,,Firebird,137,,4/14/2003
The Changeling,Zilpha Keatley Snyder,,iUniverse,228,,6/8/2004
The Changeling,Kate Horsley,,Shambhala,339,,4/12/2005
The Changeling (Daughters of England  #15),Philippa Carr,,Ivy Books,369,,8/28/1990
The Known World,Edward P. Jones,,Amistad,388,,8/29/2006
The Known World,Edward P. Jones/Kevin R. Free,,HarperAudio,14,,6/15/2004
The Known World,Edward P. Jones,,Harper,576,,6/15/2004
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,,FT Press,334,,5/15/2006
Artesia: Adventures in the Known World,Mark Smylie,,Archaia,352,,12/14/2005
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,,Farrar  Straus and Giroux,416,,6/1/1982
Uncommon Carriers,John McPhee,,Farrar Straus Giroux,248,,5/16/2006
Heirs of General Practice,John McPhee,,Farrar  Straus and Giroux,128,,4/1/1986
The Control of Nature,John McPhee,,Farrar  Straus and Giroux,288,,9/1/1990
Annals of the Former World,John McPhee,,Farrar  Straus and Giroux,720,,1/6/1999
Coming Into the Country,John McPhee,,Farrar  Straus and Giroux,448,,4/1/1991
La Place de la Concorde Suisse,John McPhee,,Farrar  Straus and Giroux,160,,4/1/1994
Giving Good Weight,John McPhee,,Farrar  Straus and Giroux,288,,4/1/1994
Rising from the Plains,John McPhee,,Farrar  Straus and Giroux,208,,11/1/1987
The Heidi Chronicles,Wendy Wasserstein,,Dramatists Play Service,81,,3/1/2002
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,,Vintage,249,,7/2/1991
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,,Routledge,138,,3/29/2006
Simply Beautiful Beaded Jewelry,Heidi Boyd,,North Light Books,128,,3/14/2006
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,,Chosen Books,192,,9/1/2003
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,,Association for Supervision & Curriculum Development,108,,1/28/1997
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,,Kingfisher,352,,11/15/2002
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,,ASCD,192,,11/15/2004
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,,Sovereign World,192,,4/28/2003
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,,Workman Publishing Company,832,,10/16/2003
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,,One Hour Entertainment,123,,5/10/2004
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,,North Light Books,128,,8/19/2004
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,,Ace Books,423,,6/15/1987
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,,Ace Books,436,,7/1/1987
Dune Messiah (Dune Chronicles #2),Frank Herbert,,Ace Books,331,,7/15/1987
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,,Tor Books,592,,7/1/2004
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,,Putnam,480,,4/16/1984
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,,Tor Science Fiction,426,,8/29/2006
Heretics of Dune (Dune Chronicles #5),Frank Herbert,,Ace Books,471,,8/15/1987
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,,Houghton Mifflin Harcourt,192,,6/12/2002
The Power of One (The Power of One  #1),Bryce Courtenay,,Ballantine Books,544,,9/29/1996
The Power of One (The Power of One  #1),Bryce Courtenay,,Delacorte Books for Young Readers,291,,9/13/2005
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,,Thomas Nelson,256,,11/1/2004
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,,Wiley,205,,5/19/2006
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,,Heinemann Drama,240,,2/7/2000
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,,William Morrow Paperbacks,336,,5/3/2005
eBay for Dummies,Marsha Collier,,Wiley,386,,10/30/2006
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,,McGraw-Hill,260,,1/24/2006
Starting an eBay Business for Dummies,Marsha Collier,,Wiley,384,,9/17/2004
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,,Wiley,260,,6/6/2006
ebay Timesaving Techniques for Dummies,Marsha Collier,,Wiley,391,,5/31/2004
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,,Wiley,864,,4/25/2005
Ruby Cookbook,Lucas Carlson/Leonard Richardson,,O'Reilly Media,873,,7/29/2006
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,,Citadel,240,,5/3/2005
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,,Citadel,206,,5/3/2005
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,,O'Reilly Media,514,,1/1/2007
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,,Penguin Classics,838,,5/31/2004
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,,Signet,960,,11/5/2002
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,,Penguin Books,837,,1/30/2003
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,,Cliffs Notes,80,,11/26/1965
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,,Barnes & Noble Classics,803,,7/1/2003
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,,Dover Publications,752,,11/23/2004
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,,Barnes & Noble,803,,8/26/2004
Dinner with Anna Karenina,Gloria Goldreich,,Mira Books,360,,1/28/2006
Tolstoy: Anna Karenina,Anthony Thorlby,,Cambridge University Press,128,,11/26/1987
Untouchable,Mulk Raj Anand/E.M. Forster,,Penguin Books,160,,7/3/1990
The Untouchable,John Banville,,Vintage,367,,6/30/1998
The Untouchables,Eliot Ness/Oscar Fraley,,Buccaneer Books,256,,2/1/1996
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,,Scribner,320,,9/27/2005
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,,Clarity Press,100,,1/28/1995
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,,Rowman & Littlefield Publishers,224,,12/20/2000
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,,Pearson,216,,9/22/2003
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,,Teacher Created Resources,48,,9/28/1991
Wrinkles in Time,George Smoot/Keay Davidson,,Harper Perennial,360,,10/1/1994
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,,EMC/Paradigm Publishing,250,,5/1/2002
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,,Teaching Resources,32,,1/1/2002
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,,Turtleback Books,205,,6/1/1984
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,,Little  Brown Book Group,367,,6/1/1994
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,,William Morrow,352,,1/3/2006
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,,Atria Books,320,,11/1/2005
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,,Tor Books,331,,3/7/2006
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,,Vintage Crime/Black Lizard,244,,8/10/2004
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,,Vintage Crime/Black Lizard,215,,3/8/2005
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,,Vintage Crime/Black Lizard,191,,8/10/2004
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,,Vintage,144,,10/3/1990
I am Charlotte Simmons,Tom Wolfe,,Picador USA,738,,8/30/2005
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,,Sterling,48,,10/1/2001
The Puffin Book of Nonsense Verse,Quentin Blake,,Puffin,287,,10/3/1996
Henry Miller on Writing,Henry Miller/Thomas H. Moore,,New Directions Publishing,217,,2/1/1964
Quiet Days in Clichy,Henry Miller,,Grove Press,154,,1/13/1994
Tropic of Cancer,Henry Miller/Jiří Níl,,Grove Press,318,,1/6/1994
Tropic of Capricorn,Henry Miller,,Grove Press,348,,1/13/1994
Nexus (The Rosy Crucifixion  #3),Henry Miller,,Grove Press,316,,1/13/1994
Sexus (The Rosy Crucifixion  #1),Henry Miller,,Grove Press,506,,1/12/1994
The Air-Conditioned Nightmare,Henry Miller,,New Directions,292,,1/17/1970
The Portrait of a Lady,Henry James/Patricia Crick,,Penguin Classics,797,,9/30/2003
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,,Barnes  Noble Classics,635,,1/16/2004
Writing,Marguerite Duras,,Brookline Books,91,,5/6/1999
The War,Marguerite Duras/Barbara Bray,,The New Press,192,,8/1/1994
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,,Pantheon,181,,3/12/1986
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,,One World (UK),178,,7/1/1999
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,,Interlink Publishing Group,464,,4/1/1998
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,,Penguin Books,102,,1/1/1998
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,,Knopf,216,,2/21/1995
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,,Citadel,132,,3/3/2003
Sand and Foam,Kahlil Gibran/جبران خليل جبران,,Knopf,100,,6/14/2011
Treasure Island,Robert Louis Stevenson,,Kingfisher,311,,9/15/2001
Treasure Island,Robert Louis Stevenson/Scott McKowen,,Sterling Children's Books,213,,10/1/2004
Treasure Island,Robert Louis Stevenson,,Simon & Schuster,245,,6/1/2005
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,,Atheneum Books for Young Readers,64,,7/1/2003
Treasure Island,Robert Louis Stevenson/Milo Winter,,Gramercy Books,272,,9/3/2002
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,,Abdo Publishing Company,232,,1/31/2006
100 Years of Lynchings,Ralph Ginzburg,,Black Classic Press,270,,11/22/1996
Cien años de soledad,Gabriel García Márquez,,French & European,448,,1/1/1990
On Beyond Zebra!,Dr. Seuss,,Random House Books for Young Readers,64,,9/12/1955
The Wedding Clause,Debbie Raleigh,,Zebra,256,,6/7/2005
The Zebra Wall,Kevin Henkes,,Greenwillow Books,147,,2/15/2005
El perfume: Historia de un asesino,Patrick Süskind,,Booket,239,,6/1/2002
The Door Into Summer,Robert A. Heinlein,,Del Rey,304,,6/17/1997
Stranger in a Strange Land,Robert A. Heinlein,,Ace,528,,10/1/1991
To Sail Beyond the Sunset,Robert A. Heinlein,,Ace Books,434,,6/1/1988
Job: A Comedy of Justice,Robert A. Heinlein,,Del Rey,439,,10/12/1985
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,,Tor Books,256,,8/8/2006
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,,Pocket Books,307,,2/15/1991
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,,Del Rey,298,,4/26/2005
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,,Del Rey,368,,12/27/2005
Douglas Adams's Starship Titanic,Terry Jones,,Ballantine Books,256,,10/27/1998
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,,Turtleback Books,336,,7/1/2003
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,,Samuel French  Inc.,72,,1/12/2011
On Bullshit,Harry G. Frankfurt,,Princeton University Press,67,,1/30/2005
Another Bullshit Night in Suck City,Nick Flynn,,W. W. Norton & Company,347,,9/12/2005
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,,Simon & Schuster,317,,6/12/1993
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,,HMH Books for Young Readers,32,,2/2/1998
Underworld,Don DeLillo,,Scribner,827,,7/9/1998
Libra,Don DeLillo,,Penguin,480,,5/1/1991
Americana,Don DeLillo,,Penguin Books,377,,7/6/1989
Running Dog,Don DeLillo,,Vintage Contemporaries,256,,7/17/1989
Cosmopolis,Don DeLillo,,Scribner,224,,4/6/2004
Great Jones Street,Don DeLillo,,Penguin Books,272,,1/1/1994
The Names,Don DeLillo,,Vintage,339,,7/17/1989
Against the Day,Thomas Pynchon,,Penguin Press,1085,,11/21/2006
V.,Thomas Pynchon,,Harper Perennial Modern Classics,547,,7/5/2005
The Crying of Lot 49,Thomas Pynchon,,Harper Perennial,152,,4/1/1999
Gravity's Rainbow,Thomas Pynchon,,Penguin Books,784,,1/1/2000
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,,Picador USA,773,,1/3/2004
Vineland,Thomas Pynchon,,Penguin Classics,385,,9/1/1997
Gravity's Rainbow,Thomas Pynchon,,Penguin Books,776,,10/31/2006
Slow Learner: Early Stories,Thomas Pynchon,,Back Bay Books,193,,4/30/1985
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,,Penguin Classics,352,,8/29/1996
The Year of Magical Thinking,Joan Didion,,Knopf Publishing Group,227,,10/4/2005
The White Album,Joan Didion,,Farrar Straus Giroux,222,,10/1/1990
A Book of Common Prayer,Joan Didion,,Vintage International,272,,4/11/1995
Where I Was From,Joan Didion,,Vintage,240,,9/14/2004
Slouching Towards Bethlehem,Joan Didion,,Farrar Straus Giroux,238,,10/1/1990
Democracy,Joan Didion,,Vintage International,234,,4/25/1995
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,,Everyman's Library,1122,,10/17/2006
Play It As It Lays,Joan Didion/David Thomson,,Farrar  Straus and Giroux,231,,11/15/2005
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,,Penguin Classics,308,,3/28/2006
City of Glass (The New York Trilogy  #1),Paul Auster,,Penguin Books,203,,4/7/1987
Ghosts (The New York Trilogy  #2),Paul Auster,,Penguin Books,96,,7/7/1987
The Locked Room (The New York Trilogy  #3),Paul Auster,,Sun and Moon Press,179,,11/1/1986
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,,Sky Books (NY),256,,1/1/1995
The Brooklyn Follies,Paul Auster,,Picador,306,,10/17/2006
Moon Palace,Paul Auster,,Penguin Books,320,,4/1/1990
The Music of Chance,Paul Auster,,Penguin Books,217,,12/1/1991
Travels in the Scriptorium,Paul Auster,,Henry Holt & Company,145,,1/23/2007
Leviathan,Paul Auster,,Penguin Books,275,,9/1/1993
The Red Notebook: True Stories,Paul Auster,,New Directions,104,,6/17/2002
Timbuktu / Leviathan / Moon Palace,Paul Auster,,Actes Sud,1075,,11/7/2002
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,,Penguin Books Ltd. (London),608,,12/27/2005
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,,Business Plus,211,,2/1/2006
Collapse of Complex Societies,Joseph A. Tainter,,Cambridge University Press,262,,3/29/1990
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,,Simon  Schuster,544,,8/7/2001
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,,Ballantine Books,272,,1/29/2002
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,,W. W. Norton  Company,576,,9/17/1998
My Inventions,Nikola Tesla,,Filiquarian Publishing  LLC.,88,,5/17/2006
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,,Citadel,542,,2/1/2001
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,,Lerner Publications,144,,10/1/1994
Tesla Papers,Nikola Tesla/David Hatcher Childress,,Adventures Unlimited Press,100,,12/1/2000
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,,Harlequin Blaze,249,,6/27/2006
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,,Pragmatic Bookshelf,828,,10/11/2004
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,,Cliffs Notes,112,,6/13/2000
Lord of the Flies,William Golding,,Listening Library (Audio),6,,10/11/2005
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,,Random House,397,,9/12/2006
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,,HarperCollins Publishers,216,,1/1/1989
The Lovely Bones,Alice Sebold,,Picador,328,,6/1/2003
The Lovely Bones,Alice Sebold,,Large Print Press,532,,4/1/2004
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,,Ballantine Books,224,,5/13/1990
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,,Peachpit Press,296,,2/17/2005
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,,Peachpit Press,456,,8/1/2006
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,,Taschen,575,,5/15/2005
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,,Scribner,245,,6/13/2006
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,,Scribner,272,,7/2/2004
Vice (V  #8),Jane Feather,,Bantam,419,,5/2/1996
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,,HarperTorch,540,,4/25/2006
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,,Walker & Company,32,,4/1/2005
